project_name,planned_budget,actual_cost,budget_variance,over_budget_tasks
ERP Implementation,931000.0,837400.0,-93600.0,12
Website Redesign,1202000.0,1041300.0,-160700.0,18
Cloud Infrastructure,1166000.0,991900.0,-174100.0,13
Brand Refresh,1075000.0,871200.0,-203800.0,15
Annual Report,728000.0,508000.0,-220000.0,7
API Gateway,1002000.0,776100.0,-225900.0,11
Data Warehouse Build,914000.0,685100.0,-228900.0,13
CRM Migration,1106000.0,853500.0,-252500.0,14
Performance Review System,1027000.0,774200.0,-252800.0,10
Payment Integration,1093000.0,835900.0,-257100.0,18
Security Audit,1004000.0,744400.0,-259600.0,7
DevOps Pipeline,973000.0,713200.0,-259800.0,15
Office Relocation,1155000.0,876800.0,-278200.0,14
Analytics Dashboard,1734000.0,1424100.0,-309900.0,20
Chatbot Development,1009000.0,692600.0,-316400.0,6
Customer Portal,1141000.0,812200.0,-328800.0,10
Social Media Revamp,1327000.0,972200.0,-354800.0,15
Product Launch Q2,1280000.0,916300.0,-363700.0,14
Training Platform,1660000.0,1296200.0,-363800.0,19
HR System Upgrade,1162000.0,784100.0,-377900.0,11
Compliance Overhaul,1361000.0,968800.0,-392200.0,10
Mobile App Launch,1277000.0,854500.0,-422500.0,11
Product Launch Q1,1435000.0,1001000.0,-434000.0,19
Budget Planning Tool,1452000.0,1006700.0,-445300.0,11
Onboarding Automation,1354000.0,904600.0,-449400.0,11
Marketing Automation,1374000.0,869200.0,-504800.0,8
Supply Chain Optimization,1447000.0,930700.0,-516300.0,13
Inventory System,1924000.0,1405800.0,-518200.0,21
Vendor Portal,1144000.0,568700.0,-575300.0,7
Email Platform Migration,1777000.0,1062300.0,-714700.0,14
